a,b,cos,inliers,n_photos,photo_a,photo_b
1015545516,1015916049,0.9999793767929077,1502,5,1015545516/2.jpg,1015545516/2.jpg
1015911995,1015912701,1.0000312328338623,1501,4,1015911995/0.jpg,1015911995/0.jpg
1015352573,1015353286,0.999982476234436,1500,1,1015352573/1.jpg,1015352573/1.jpg
1015528968,1015764925,0.9999790191650391,1500,4,1015528968/1.jpg,1015528968/1.jpg
1015764925,1015916049,0.9997826814651489,1491,5,1015764925/1.jpg,1015916049/1.jpg
1015528968,1015545516,0.9997657537460327,1489,5,1015528968/0.jpg,1015545516/2.jpg
1015528968,1015916049,0.9997657537460327,1489,4,1015528968/0.jpg,1015545516/2.jpg
1015047735,1015807160,0.9973158836364746,1483,2,1015047735/1.jpg,1015807160/0.jpg
1014092162,1015502539,0.9990019202232361,1477,1,1014092162/1.jpg,1015502539/2.jpg
1015791544,1015843703,0.9995540380477905,1457,1,1015791544/0.jpg,1015843703/0.jpg
1013650783,1013651236,0.9928562641143799,1454,1,1013650783/0.jpg,1013651236/0.jpg
1015545516,1015764925,0.9996128082275391,1450,5,1015545516/1.jpg,1015528968/1.jpg
1006829400,1008091276,0.9991706609725952,1423,3,1006829400/0.jpg,1008091276/2.jpg
1015814402,1015814673,0.9995309114456177,1409,4,1015814402/3.jpg,1015814673/1.jpg
1012645719,1013694305,0.9998733401298523,1392,1,1012645719/0.jpg,1013694305/0.jpg
1009917107,1010671457,0.9979945421218872,1380,1,1009917107/0.jpg,1010671457/0.jpg
1015341982,1015342568,0.9997133016586304,1377,4,1015341982/3.jpg,1015342568/3.jpg
1003685700,1004572927,0.9989497065544128,1353,3,1003685700/2.jpg,1004572927/3.jpg
1010060018,1015307263,0.991879940032959,1352,2,1010060018/0.jpg,1015307263/0.jpg
1015352573,1015352741,0.9996669292449951,1335,4,1015352573/1.jpg,1015352741/1.jpg
1015352741,1015353286,0.9996669292449951,1334,1,1015352741/1.jpg,1015352573/1.jpg
1015678136,1015871399,0.9978324770927429,1306,1,1015678136/1.jpg,1015871399/0.jpg
1015778892,1015815803,0.997454047203064,1305,2,1015778892/0.jpg,1015815803/0.jpg
1015155903,1015864243,0.9986529350280762,1259,2,1015155903/2.jpg,1015864243/2.jpg
1015827712,1015876455,0.9993182420730591,1242,1,1015827712/0.jpg,1015876455/0.jpg
1014746814,1015477629,0.9994425773620605,1234,1,1014746814/1.jpg,1015477629/0.jpg
1015706176,1015785867,0.9980354309082031,1222,3,1015706176/0.jpg,1015785867/2.jpg
1015343508,1015657635,0.9963427782058716,1214,2,1015343508/0.jpg,1015657635/0.jpg
1015510473,1015511230,0.9965511560440063,1194,4,1015510473/3.jpg,1015511230/0.jpg
1015796837,1015875183,0.9952839612960815,1181,2,1015796837/2.jpg,1015875183/2.jpg
1015559463,1015738073,0.9960167407989502,1159,7,1015559463/2.jpg,1015738073/0.jpg
1015628566,1015906424,0.9965594410896301,1146,1,1015628566/3.jpg,1015906424/0.jpg
1008543855,760510289,0.9984620809555054,1119,1,1008543855/0.jpg,760510289/0.jpg
1011325920,1015834368,0.9875365495681763,1119,3,1011325920/3.jpg,1015834368/2.jpg
